===========  Loading files ===========
Loading richards.js
===========  Data flow analysis ===========
richards.js:1:1 (node transfers: 1, worklist size: 1)
richards.js:74:13 (node transfers: 47, worklist size: 1)
richards.js:605:1 (node transfers: 269, worklist size: 1)
richards.js:41:1 (node transfers: 270, worklist size: 1)
richards.js:42:23 (node transfers: 274, worklist size: 1)
richards.js:42:19 (node transfers: 275, worklist size: 1)
richards.js:93:1 (node transfers: 276, worklist size: 1)
richards.js:94:3 (node transfers: 277, worklist size: 1)
richards.js:96:17 (node transfers: 286, worklist size: 1)
richards.js:96:3 (node transfers: 287, worklist size: 1)
richards.js:100:1 (node transfers: 297, worklist size: 1)
richards.js:42:19 (node transfers: 298, worklist size: 1)
richards.js:43:3 (node transfers: 306, worklist size: 1)
richards.js:149:35 (node transfers: 307, worklist size: 1)
richards.js:157:35 (node transfers: 308, worklist size: 1)
richards.js:167:44 (node transfers: 341, worklist size: 1)
richards.js:428:1 (node transfers: 342, worklist size: 1)
richards.js:429:3 (node transfers: 343, worklist size: 1)
richards.js:432:1 (node transfers: 352, worklist size: 1)
richards.js:167:3 (node transfers: 353, worklist size: 1)
richards.js:227:38 (node transfers: 354, worklist size: 1)
richards.js:228:3 (node transfers: 355, worklist size: 1)
richards.js:228:3 (node transfers: 361, worklist size: 1)
richards.js:239:31 (node transfers: 362, worklist size: 1)
richards.js:240:3 (node transfers: 363, worklist size: 1)
richards.js:240:21 (node transfers: 371, worklist size: 1)
richards.js:320:1 (node transfers: 372, worklist size: 1)
richards.js:321:3 (node transfers: 373, worklist size: 1)
richards.js:327:5 (node transfers: 392, worklist size: 1)
richards.js:331:1 (node transfers: 395, worklist size: 1)
richards.js:240:3 (node transfers: 396, worklist size: 1)
richards.js:243:1 (node transfers: 408, worklist size: 1)
richards.js:229:3 (node transfers: 409, worklist size: 1)
richards.js:229:3 (node transfers: 413, worklist size: 1)
richards.js:357:41 (node transfers: 414, worklist size: 1)
richards.js:358:3 (node transfers: 415, worklist size: 1)
richards.js:359:1 (node transfers: 418, worklist size: 1)
richards.js:230:1 (node transfers: 419, worklist size: 1)
richards.js:168:1 (node transfers: 420, worklist size: 1)
richards.js:45:19 (node transfers: 421, worklist size: 1)
richards.js:45:15 (node transfers: 425, worklist size: 1)
richards.js:575:1 (node transfers: 426, worklist size: 1)
richards.js:576:3 (node transfers: 427, worklist size: 1)
richards.js:580:13 (node transfers: 442, worklist size: 1)
richards.js:580:3 (node transfers: 443, worklist size: 1)
richards.js:581:1 (node transfers: 444, worklist size: 1)
richards.js:45:15 (node transfers: 445, worklist size: 1)
